Timestamp,Experiment Time (minutes),Reads,Selected Raw Samples,Selected Events,Estimated Bases
2023-11-23 06:42,3604,4566,657076877,13274579,11945050
2023-11-23 06:43,3605,4567,657083758,13274745,11945199
2023-11-23 06:44,3606,4567,657083758,13274745,11945199
2023-11-23 06:45,3607,4568,657091854,13274784,11945234
2023-11-23 06:46,3608,4570,657109036,13275231,11945636
2023-11-23 06:47,3609,4570,657109036,13275231,11945636
2023-11-23 06:48,3610,4571,657789348,13281892,11951630
2023-11-23 06:49,3611,4571,657789348,13281892,11951630
2023-11-23 06:50,3612,4571,657789348,13281892,11951630
2023-11-23 06:51,3613,4572,657798311,13282048,11951770
2023-11-23 06:52,3614,4572,657798311,13282048,11951770
2023-11-23 06:53,3615,4573,657852170,13282890,11952527
2023-11-23 06:54,3616,4573,657852170,13282890,11952527
2023-11-23 06:55,3617,4574,657942708,13285595,11954961
2023-11-23 06:56,3618,4574,657942708,13285595,11954961
2023-11-23 06:57,3619,4575,658032566,13287633,11956795
2023-11-23 06:58,3620,4575,658032566,13287633,11956795
2023-11-23 06:59,3621,4575,658032566,13287633,11956795
2023-11-23 07:00,3622,4575,658032566,13287633,11956795
2023-11-23 07:01,3623,4575,658032566,13287633,11956795
2023-11-23 07:02,3624,4575,658032566,13287633,11956795
2023-11-23 07:03,3625,4575,658032566,13287633,11956795
2023-11-23 07:04,3626,4575,658032566,13287633,11956795
2023-11-23 07:05,3627,4575,658032566,13287633,11956795
2023-11-23 07:06,3628,4576,658044489,13287894,11957029
2023-11-23 07:07,3629,4579,658119651,13289727,11958677
2023-11-23 07:08,3630,4581,658196270,13291286,11960079
2023-11-23 07:09,3631,4584,658709721,13306052,11973366
2023-11-23 07:10,3632,4586,658806038,13307704,11974852
2023-11-23 07:11,3633,4588,658954674,13310712,11977558
2023-11-23 07:12,3634,4588,658954674,13310712,11977558
2023-11-23 07:13,3635,4590,659736015,13334953,11999374
2023-11-23 07:14,3636,4592,660013009,13340057,12003967
2023-11-23 07:15,3637,4593,660337557,13350384,12013261
2023-11-23 07:16,3638,4594,660603471,13357839,12019970
2023-11-23 07:17,3639,4595,660699876,13359717,12021660
2023-11-23 07:18,3640,4596,660729108,13360263,12022151
2023-11-23 07:19,3641,4596,660729108,13360263,12022151
2023-11-23 07:20,3642,4596,660729108,13360263,12022151
2023-11-23 07:21,3643,4597,660776877,13360934,12022754
2023-11-23 07:22,3644,4598,660870440,13362582,12024237
2023-11-23 07:23,3645,4601,660967119,13364515,12025976
2023-11-23 07:24,3646,4601,660967119,13364515,12025976
2023-11-23 07:25,3647,4602,660990434,13364965,12026381
2023-11-23 07:26,3648,4602,660990434,13364965,12026381
2023-11-23 07:27,3649,4602,660990434,13364965,12026381
2023-11-23 07:28,3650,4604,661100657,13367315,12028495
2023-11-23 07:29,3651,4604,661100657,13367315,12028495
2023-11-23 07:30,3652,4604,661100657,13367315,12028495
2023-11-23 07:31,3653,4605,661178442,13368578,12029631
2023-11-23 07:32,3654,4605,661178442,13368578,12029631
2023-11-23 07:33,3655,4607,661335174,13370991,12031802
2023-11-23 07:34,3656,4607,661335174,13370991,12031802
2023-11-23 07:35,3657,4607,661335174,13370991,12031802
2023-11-23 07:36,3658,4607,661335174,13370991,12031802
2023-11-23 07:37,3659,4607,661335174,13370991,12031802
2023-11-23 07:38,3660,4607,661335174,13370991,12031802
2023-11-23 07:39,3661,4607,661335174,13370991,12031802
2023-11-23 07:40,3662,4607,661335174,13370991,12031802
2023-11-23 07:41,3663,4608,661385880,13372073,12032775
2023-11-23 07:42,3664,4608,661385880,13372073,12032775
2023-11-23 07:43,3665,4609,661626172,13374468,12034930
2023-11-23 07:44,3666,4609,661626172,13374468,12034930
2023-11-23 07:45,3667,4610,661727346,13376704,12036942
2023-11-23 07:46,3668,4611,662170314,13387081,12046281
2023-11-23 07:47,3669,4613,662259639,13388261,12047342
2023-11-23 07:48,3670,4613,662259639,13388261,12047342
2023-11-23 07:49,3671,4613,662259639,13388261,12047342
2023-11-23 07:50,3672,4614,662295731,13388647,12047689
2023-11-23 07:51,3673,4615,662305029,13388952,12047963
2023-11-23 07:52,3674,4615,662305029,13388952,12047963
2023-11-23 07:53,3675,4617,662464229,13390846,12049667
2023-11-23 07:54,3676,4618,662486975,13391328,12050100
2023-11-23 07:55,3677,4618,662486975,13391328,12050100
2023-11-23 07:56,3678,4618,662486975,13391328,12050100
2023-11-23 07:57,3679,4618,662486975,13391328,12050100
2023-11-23 07:58,3680,4618,662486975,13391328,12050100
2023-11-23 07:59,3681,4618,662486975,13391328,12050100
2023-11-23 08:00,3682,4618,662486975,13391328,12050100
2023-11-23 08:01,3683,4619,662543146,13392362,12051030
2023-11-23 08:02,3684,4619,662543146,13392362,12051030
2023-11-23 08:03,3685,4619,662543146,13392362,12051030
2023-11-23 08:04,3686,4619,662543146,13392362,12051030
2023-11-23 08:05,3687,4619,662543146,13392362,12051030
2023-11-23 08:06,3688,4619,662543146,13392362,12051030
2023-11-23 08:07,3689,4620,662590244,13393285,12051860
2023-11-23 08:08,3690,4620,662590244,13393285,12051860
2023-11-23 08:09,3691,4620,662590244,13393285,12051860
2023-11-23 08:10,3692,4620,662590244,13393285,12051860
2023-11-23 08:11,3693,4620,662590244,13393285,12051860
2023-11-23 08:12,3694,4621,662624993,13393982,12052487
2023-11-23 08:13,3695,4621,662624993,13393982,12052487
2023-11-23 08:14,3696,4621,662624993,13393982,12052487
2023-11-23 08:15,3697,4621,662624993,13393982,12052487
2023-11-23 08:16,3698,4622,662684674,13396044,12054342
2023-11-23 08:17,3699,4622,662684674,13396044,12054342
2023-11-23 08:18,3700,4622,662684674,13396044,12054342
2023-11-23 08:19,3701,4622,662684674,13396044,12054342
2023-11-23 08:20,3702,4622,662684674,13396044,12054342
2023-11-23 08:21,3703,4622,662684674,13396044,12054342
2023-11-23 08:22,3704,4624,662758011,13397679,12055812
2023-11-23 08:23,3705,4624,662758011,13397679,12055812
2023-11-23 08:24,3706,4625,662767342,13397885,12055997
2023-11-23 08:25,3707,4625,662767342,13397885,12055997
2023-11-23 08:26,3708,4626,662836057,13399178,12057160
