Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
205,62376,0,0,0,1419170834,28119548,25279446,0,0
206,62604,0,0,0,1424185491,28216896,25366955,0,0
207,62811,0,0,0,1428623158,28308258,25449086,0,0
208,63035,0,0,0,1437348142,28490585,25613078,0,0
209,63251,0,0,0,1443934200,28612715,25722902,0,0
210,63468,0,0,0,1450678589,28747999,25844558,0,0
211,63673,0,0,0,1457076319,28868536,25952945,0,0
212,63921,0,0,0,1464987353,29049381,26115601,0,0
213,64131,0,0,0,1470181604,29148683,26204881,0,0
214,64389,0,0,0,1478248553,29333006,26370660,0,0
215,64618,0,0,0,1483622464,29436550,26463751,0,0
216,64831,0,0,0,1489716902,29559016,26573875,0,0
217,65048,0,0,0,1495663694,29676944,26679913,0,0
218,65246,0,0,0,1501156439,29795939,26786916,0,0
219,65458,0,0,0,1506715770,29898554,26879172,0,0
220,65660,0,0,0,1511950264,29996203,26966965,0,0
221,65889,0,0,0,1519267591,30156255,27110908,0,0
222,66103,0,0,0,1531585022,30409918,27339109,0,0
223,66288,0,0,0,1537835385,30516555,27434996,0,0
224,66480,0,0,0,1543793096,30649178,27554266,0,0
225,66678,0,0,0,1551517327,30884099,27765599,0,0
226,66877,0,0,0,1555327747,30960449,27834228,0,0
227,67088,0,0,0,1565115952,31175568,28027742,0,0
228,67302,0,0,0,1571762338,31310849,28149401,0,0
229,67499,0,0,0,1578783811,31464384,28287493,0,0
230,67693,0,0,0,1583010832,31547033,28361790,0,0
231,67876,0,0,0,1588963132,31655555,28459372,0,0
232,68059,0,0,0,1593641253,31753863,28547774,0,0
233,68288,0,0,0,1608015875,32040339,28805500,0,0
234,68477,0,0,0,1613511930,32145167,28899753,0,0
235,68646,0,0,0,1617126847,32212733,28960493,0,0
236,68827,0,0,0,1620949306,32293151,29032795,0,0
237,69015,0,0,0,1625745066,32384419,29114850,0,0
238,69171,0,0,0,1631310833,32519700,29236529,0,0
239,69356,0,0,0,1642616448,32774737,29465976,0,0
240,69517,0,0,0,1647594635,32894374,29573586,0,0
241,69701,0,0,0,1652429315,32989254,29658894,0,0
242,69872,0,0,0,1657425486,33099957,29758450,0,0
243,70065,0,0,0,1669671294,33372313,30003490,0,0
244,70254,0,0,0,1676892174,33496386,30115075,0,0
245,70429,0,0,0,1682342787,33601647,30209726,0,0
246,70616,0,0,0,1687576038,33707268,30304702,0,0
247,70782,0,0,0,1691017825,33772359,30363207,0,0
248,70955,0,0,0,1695860869,33871741,30452579,0,0
249,71114,0,0,0,1708297091,34093797,30652357,0,0
250,71266,0,0,0,1713431464,34176790,30726988,0,0
251,71444,0,0,0,1719582526,34299842,30837662,0,0
252,71615,0,0,0,1724014108,34394181,30922493,0,0
253,71793,0,0,0,1729564703,34508680,31025468,0,0
254,71961,0,0,0,1734563950,34607331,31114173,0,0
255,72148,0,0,0,1739576483,34707888,31204591,0,0
256,72334,0,0,0,1743929341,34790338,31278718,0,0
257,72526,0,0,0,1747570444,34860283,31341584,0,0
258,72701,0,0,0,1753186010,34977304,31446822,0,0
259,72881,0,0,0,1759133106,35076587,31536099,0,0
260,73051,0,0,0,1763628554,35151899,31603803,0,0
261,73225,0,0,0,1772783122,35369446,31799516,0,0
262,73376,0,0,0,1775537668,35424313,31848828,0,0
263,73562,0,0,0,1781158045,35544968,31957332,0,0
264,73735,0,0,0,1787442961,35697621,32094642,0,0
265,73918,0,0,0,1795643141,35844588,32226833,0,0
266,74096,0,0,0,1800140932,35937307,32310202,0,0
267,74254,0,0,0,1803540312,35997474,32364287,0,0
268,74437,0,0,0,1812097610,36132540,32485759,0,0
269,74629,0,0,0,1821674392,36318678,32653197,0,0
270,74804,0,0,0,1824982979,36379829,32708155,0,0
271,74972,0,0,0,1828244520,36443296,32765199,0,0
272,75116,0,0,0,1833174845,36526419,32839945,0,0
273,75273,0,0,0,1837933476,36604028,32909723,0,0
274,75436,0,0,0,1842549926,36694481,32991053,0,0
275,75608,0,0,0,1848489047,36817982,33102135,0,0
276,75769,0,0,0,1852371211,36898138,33174206,0,0
277,75922,0,0,0,1863265585,37111716,33366356,0,0
278,76078,0,0,0,1869558768,37243642,33485017,0,0
279,76247,0,0,0,1875610795,37360473,33590089,0,0
280,76282,0,0,0,1879840027,37431898,33654353,0,0
281,76294,0,0,0,1891290757,37639737,33841404,0,0
282,76361,0,0,0,1892174882,37657551,33857411,0,0
283,76419,0,0,0,1892929723,37672567,33870899,0,0
284,76646,0,0,0,1896116506,37738332,33929991,0,0
285,76890,0,0,0,1901356617,37845549,34026373,0,0
286,77138,0,0,0,1906409894,37938679,34110076,0,0
287,77372,0,0,0,1910322429,38020291,34183421,0,0
288,77611,0,0,0,1915163349,38116687,34270070,0,0
289,77845,0,0,0,1920320437,38221704,34364480,0,0
290,78085,0,0,0,1926518123,38361831,34490475,0,0
291,78315,0,0,0,1932349282,38485292,34601485,0,0
292,78552,0,0,0,1938050845,38606310,34710289,0,0
293,78782,0,0,0,1944816121,38751822,34841157,0,0
294,78989,0,0,0,1950195617,38858439,34937027,0,0
295,79207,0,0,0,1955416848,38971398,35038592,0,0
296,79442,0,0,0,1962230590,39115533,35168207,0,0
297,79678,0,0,0,1970605716,39270239,35307338,0,0
298,79922,0,0,0,1978530917,39422712,35444465,0,0
299,80124,0,0,0,1986519219,39604011,35607542,0,0
300,80345,0,0,0,1994590281,39760280,35748086,0,0
301,80553,0,0,0,2001608446,39929477,35900271,0,0
302,80777,0,0,0,2007835084,40057823,36015681,0,0
303,80970,0,0,0,2012874791,40159711,36107296,0,0
304,81188,0,0,0,2021391119,40314247,36246283,0,0
305,81397,0,0,0,2026504040,40406548,36329264,0,0
