Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
144,1741,0,0,0,143190717,3107923,2796334,0,0
145,1756,0,0,0,144009739,3125391,2812049,0,0
146,1765,0,0,0,144923615,3144779,2829494,0,0
147,1777,0,0,0,146099638,3172161,2854132,0,0
148,1790,0,0,0,147207826,3188529,2868858,0,0
149,1801,0,0,0,147885638,3203019,2881894,0,0
150,1807,0,0,0,148280540,3212323,2890264,0,0
151,1815,0,0,0,149442487,3234897,2910577,0,0
152,1822,0,0,0,150218700,3250256,2924397,0,0
153,1832,0,0,0,150636082,3257034,2930494,0,0
154,1842,0,0,0,151936731,3284174,2954915,0,0
155,1851,0,0,0,154185056,3330973,2997029,0,0
156,1855,0,0,0,154447101,3333693,2999475,0,0
157,1864,0,0,0,154965357,3342393,3007300,0,0
158,1869,0,0,0,155143847,3345963,3010510,0,0
159,1882,0,0,0,158005705,3397959,3057300,0,0
160,1892,0,0,0,159388745,3422631,3079501,0,0
161,1903,0,0,0,160581835,3441121,3096137,0,0
162,1912,0,0,0,161697012,3459958,3113088,0,0
163,1927,0,0,0,163702420,3491183,3141182,0,0
164,1933,0,0,0,165271070,3529601,3175756,0,0
165,1940,0,0,0,166015611,3542642,3187489,0,0
166,1943,0,0,0,166128225,3544507,3189166,0,0
167,1958,0,0,0,168060763,3582219,3223099,0,0
168,1961,0,0,0,168131768,3583263,3224037,0,0
169,1967,0,0,0,168431154,3587425,3227780,0,0
170,1977,0,0,0,169460431,3603983,3242677,0,0
171,1983,0,0,0,169952080,3617665,3254988,0,0
172,1995,0,0,0,171194687,3640526,3275558,0,0
173,2000,0,0,0,171288981,3641876,3276770,0,0
174,2009,0,0,0,172339145,3658412,3291649,0,0
175,2013,0,0,0,172784459,3667641,3299953,0,0
176,2023,0,0,0,173387048,3678217,3309467,0,0
177,2028,0,0,0,174391580,3707936,3336211,0,0
178,2035,0,0,0,174994055,3720343,3347374,0,0
179,2042,0,0,0,176679751,3746121,3370571,0,0
180,2055,0,0,0,178899281,3787671,3407960,0,0
181,2066,0,0,0,181344331,3828548,3444745,0,0
182,2071,0,0,0,181835938,3835299,3450819,0,0
183,2076,0,0,0,182356231,3843866,3458527,0,0
184,2088,0,0,0,183480649,3862449,3475247,0,0
185,2098,0,0,0,184566939,3879794,3490853,0,0
186,2098,0,0,0,184566939,3879794,3490853,0,0
187,2100,0,0,0,184632464,3880784,3491743,0,0
188,2103,0,0,0,184674343,3881572,3492451,0,0
189,2113,0,0,0,185146608,3893394,3503085,0,0
190,2125,0,0,0,185992512,3914604,3522169,0,0
191,2137,0,0,0,186673179,3927331,3533616,0,0
192,2147,0,0,0,187562336,3944893,3549418,0,0
193,2159,0,0,0,188120198,3957434,3560700,0,0
194,2169,0,0,0,188785908,3973009,3574713,0,0
195,2183,0,0,0,189687102,3992854,3592567,0,0
196,2202,0,0,0,190789540,4017803,3615012,0,0
197,2214,0,0,0,191620111,4032453,3628193,0,0
198,2224,0,0,0,192722333,4062198,3654959,0,0
199,2237,0,0,0,193631498,4084239,3674790,0,0
200,2247,0,0,0,194593387,4106747,3695043,0,0
201,2260,0,0,0,195497952,4125008,3711473,0,0
202,2275,0,0,0,196406070,4142758,3727441,0,0
203,2291,0,0,0,198753746,4201835,3780603,0,0
204,2303,0,0,0,202128105,4296016,3865361,0,0
205,2315,0,0,0,203381949,4317837,3884994,0,0
206,2327,0,0,0,204425363,4338247,3903357,0,0
207,2337,0,0,0,205675876,4369643,3931609,0,0
208,2346,0,0,0,206077074,4377716,3938871,0,0
209,2355,0,0,0,207009430,4396349,3955636,0,0
210,2368,0,0,0,208276503,4425354,3981735,0,0
211,2378,0,0,0,210033218,4461562,4014317,0,0
212,2389,0,0,0,212095786,4526322,4072597,0,0
213,2400,0,0,0,212483256,4533002,4078603,0,0
214,2406,0,0,0,213144871,4551705,4095432,0,0
215,2412,0,0,0,214771296,4586234,4126505,0,0
216,2424,0,0,0,217800053,4679366,4210319,0,0
217,2438,0,0,0,224096248,4847242,4361400,0,0
218,2447,0,0,0,225506398,4874453,4385886,0,0
219,2453,0,0,0,226505422,4904661,4413070,0,0
220,2457,0,0,0,226630929,4906690,4414895,0,0
221,2464,0,0,0,228224851,4945275,4449619,0,0
222,2480,0,0,0,230792998,5012774,4510361,0,0
223,2495,0,0,0,232231662,5044445,4538858,0,0
224,2503,0,0,0,233341465,5074748,4566127,0,0
225,2513,0,0,0,234422992,5096528,4585725,0,0
226,2523,0,0,0,236474564,5138389,4623396,0,0
227,2532,0,0,0,237416644,5158169,4641193,0,0
228,2537,0,0,0,237610969,5163859,4646311,0,0
229,2542,0,0,0,237914828,5167460,4649550,0,0
230,2549,0,0,0,238466256,5178451,4659438,0,0
231,2558,0,0,0,239475143,5196011,4675238,0,0
232,2568,0,0,0,240119870,5208475,4686451,0,0
233,2577,0,0,0,240745054,5226052,4702266,0,0
234,2585,0,0,0,242182695,5256218,4729413,0,0
235,2597,0,0,0,242874461,5277292,4748374,0,0
236,2609,0,0,0,243832061,5294380,4763746,0,0
237,2615,0,0,0,244081923,5300709,4769439,0,0
238,2623,0,0,0,244998628,5314060,4781452,0,0
239,2630,0,0,0,245331614,5320605,4787340,0,0
240,2644,0,0,0,246847819,5358021,4821008,0,0
241,2653,0,0,0,248281840,5385223,4845485,0,0
242,2659,0,0,0,248626596,5391840,4851438,0,0
243,2663,0,0,0,250031210,5416726,4873834,0,0
244,2675,0,0,0,250538745,5425680,4881887,0,0
245,2682,0,0,0,252073082,5454590,4907903,0,0
246,2688,0,0,0,252468441,5462011,4914579,0,0
247,2698,0,0,0,253023328,5470572,4922279,0,0
248,2700,0,0,0,253470492,5478836,4929716,0,0
249,2701,0,0,0,253504400,5479583,4930388,0,0
250,2706,0,0,0,253851802,5485400,4935621,0,0
251,2713,0,0,0,254350820,5495068,4944319,0,0
252,2721,0,0,0,254819442,5509900,4957664,0,0
253,2729,0,0,0,255319974,5519088,4965930,0,0
254,2733,0,0,0,257849228,5558762,5001635,0,0
255,2738,0,0,0,259010835,5575040,5016283,0,0
256,2743,0,0,0,259307881,5580598,5021283,0,0
257,2750,0,0,0,259545791,5585673,5025847,0,0
258,2757,0,0,0,262251948,5655332,5088536,0,0
259,2765,0,0,0,262712882,5665935,5098075,0,0
260,2770,0,0,0,264247861,5685761,5115916,0,0
261,2776,0,0,0,264850932,5697118,5126134,0,0
262,2781,0,0,0,266483073,5740418,5165102,0,0
263,2787,0,0,0,267033552,5751835,5175375,0,0
264,2796,0,0,0,267493444,5757907,5180835,0,0
265,2803,0,0,0,268961737,5780354,5201032,0,0
266,2810,0,0,0,270609913,5806120,5224220,0,0
267,2819,0,0,0,272443271,5845427,5259593,0,0
268,2826,0,0,0,273000261,5857184,5270171,0,0
269,2830,0,0,0,273103748,5859425,5272186,0,0
270,2840,0,0,0,273649714,5873739,5285064,0,0
271,2844,0,0,0,273726995,5875938,5287041,0,0
272,2856,0,0,0,274597269,5890312,5299972,0,0
273,2859,0,0,0,274707151,5892921,5302319,0,0
274,2871,0,0,0,276262186,5924047,5330329,0,0
275,2877,0,0,0,276924372,5933603,5338927,0,0
276,2879,0,0,0,276958744,5934212,5339474,0,0
277,2882,0,0,0,277262436,5943534,5347863,0,0
278,2885,0,0,0,278054311,5960970,5363554,0,0
279,2885,0,0,0,278054311,5960970,5363554,0,0
280,2888,0,0,0,278114320,5961690,5364200,0,0
281,2891,0,0,0,278155918,5962376,5364815,0,0
282,2899,0,0,0,278409549,5967192,5369146,0,0
283,2916,0,0,0,279449882,5987635,5387536,0,0
284,2926,0,0,0,280319734,6007908,5405777,0,0
285,2940,0,0,0,281507149,6030591,5426186,0,0
286,2947,0,0,0,282092435,6042845,5437212,0,0
287,2956,0,0,0,282745076,6056948,5449901,0,0
288,2966,0,0,0,283132225,6066205,5458227,0,0
289,2980,0,0,0,283971420,6078767,5469525,0,0
290,2990,0,0,0,284552718,6092750,5482105,0,0
291,2992,0,0,0,284589315,6093293,5482593,0,0
292,2997,0,0,0,285911539,6129105,5514820,0,0
293,3005,0,0,0,287146045,6161960,5544384,0,0
294,3009,0,0,0,289250532,6196854,5575787,0,0
295,3019,0,0,0,290017501,6212443,5589811,0,0
296,3030,0,0,0,290589508,6223740,5599974,0,0
297,3033,0,0,0,290782173,6227867,5603687,0,0
298,3045,0,0,0,291694302,6241160,5615646,0,0
299,3051,0,0,0,291892540,6245694,5619724,0,0
300,3059,0,0,0,293168918,6269776,5641395,0,0
