Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
3557,102483,0,0,0,4930010751,100189329,90124376,0,0
3558,102491,0,0,0,4930466886,100200177,90134137,0,0
3559,102495,0,0,0,4930656835,100204878,90138366,0,0
3560,102503,0,0,0,4931031307,100211780,90144573,0,0
3561,102506,0,0,0,4931264301,100217568,90149781,0,0
3562,102511,0,0,0,4931435869,100221537,90153351,0,0
3563,102513,0,0,0,4931752121,100227017,90158282,0,0
3564,102516,0,0,0,4931925797,100231995,90162761,0,0
3565,102518,0,0,0,4932347601,100235506,90165920,0,0
3566,102521,0,0,0,4933011366,100239431,90169451,0,0
3567,102527,0,0,0,4933390164,100246172,90175516,0,0
3568,102533,0,0,0,4933850867,100253830,90182406,0,0
3569,102536,0,0,0,4933929633,100254892,90183361,0,0
3570,102542,0,0,0,4934608570,100273755,90200336,0,0
3571,102550,0,0,0,4935094339,100287195,90212430,0,0
3572,102551,0,0,0,4935127699,100287528,90212729,0,0
3573,102552,0,0,0,4935223262,100290033,90214983,0,0
3574,102554,0,0,0,4935316643,100291302,90216125,0,0
3575,102557,0,0,0,4935493804,100295689,90220072,0,0
3576,102568,0,0,0,4935943398,100303618,90227204,0,0
3577,102571,0,0,0,4938396038,100364372,90281881,0,0
3578,102575,0,0,0,4938524268,100367133,90284365,0,0
3579,102577,0,0,0,4939041323,100380328,90296239,0,0
3580,102579,0,0,0,4939114716,100381626,90297407,0,0
3581,102581,0,0,0,4939178257,100382557,90298244,0,0
3582,102586,0,0,0,4939503524,100389740,90304707,0,0
3583,102591,0,0,0,4939745237,100395110,90309537,0,0
3584,102598,0,0,0,4940473571,100409834,90322784,0,0
3585,102602,0,0,0,4940746100,100415410,90327801,0,0
3586,102609,0,0,0,4941120717,100423622,90335188,0,0
3587,102616,0,0,0,4941940315,100438703,90348759,0,0
3588,102620,0,0,0,4942423306,100445910,90355243,0,0
3589,102622,0,0,0,4942568699,100449367,90358353,0,0
3590,102623,0,0,0,4942583504,100449636,90358595,0,0
3591,102624,0,0,0,4942599714,100449864,90358800,0,0
3592,102627,0,0,0,4942939789,100453292,90361883,0,0
3593,102629,0,0,0,4943020123,100455362,90363745,0,0
3594,102634,0,0,0,4943613305,100463350,90370932,0,0
3595,102634,0,0,0,4943613305,100463350,90370932,0,0
3596,102636,0,0,0,4943665595,100464274,90371763,0,0
3597,102639,0,0,0,4945658998,100482805,90388440,0,0
3598,102646,0,0,0,4946583341,100504204,90407696,0,0
3599,102649,0,0,0,4947136432,100511644,90414390,0,0
3600,102655,0,0,0,4947462044,100519802,90421729,0,0
3601,102657,0,0,0,4948704515,100536559,90436810,0,0
3602,102660,0,0,0,4949342007,100560514,90458368,0,0
3603,102666,0,0,0,4949898661,100577764,90473890,0,0
3604,102672,0,0,0,4949996055,100579999,90475899,0,0
3605,102675,0,0,0,4950180302,100583323,90478889,0,0
3606,102677,0,0,0,4950220333,100583966,90479467,0,0
3607,102679,0,0,0,4955061209,100639892,90529799,0,0
3608,102681,0,0,0,4955106831,100640566,90530405,0,0
3609,102683,0,0,0,4955130856,100640985,90530781,0,0
3610,102686,0,0,0,4955385424,100646641,90535870,0,0
3611,102688,0,0,0,4955404095,100647124,90536304,0,0
3612,102693,0,0,0,4955679369,100653488,90542030,0,0
3613,102693,0,0,0,4955679369,100653488,90542030,0,0
3614,102696,0,0,0,4955749425,100654355,90542810,0,0
3615,102696,0,0,0,4955749425,100654355,90542810,0,0
3616,102700,0,0,0,4955920946,100656965,90545157,0,0
3617,102703,0,0,0,4956017913,100658640,90546664,0,0
3618,102709,0,0,0,4956547363,100670535,90557367,0,0
3619,102714,0,0,0,4957814917,100692615,90577237,0,0
3620,102716,0,0,0,4958313716,100704474,90587909,0,0
3621,102720,0,0,0,4958882130,100717723,90599832,0,0
3622,102722,0,0,0,4959069852,100724637,90606054,0,0
3623,102723,0,0,0,4959308242,100729080,90610052,0,0
3624,102723,0,0,0,4959308242,100729080,90610052,0,0
3625,102726,0,0,0,4959735754,100737349,90617492,0,0
3626,102727,0,0,0,4959748231,100737593,90617711,0,0
3627,102732,0,0,0,4960681309,100762192,90639848,0,0
3628,102732,0,0,0,4960681309,100762192,90639848,0,0
3629,102734,0,0,0,4960714193,100762778,90640375,0,0
3630,102735,0,0,0,4960723069,100762826,90640418,0,0
3631,102742,0,0,0,4960821772,100765234,90642582,0,0
3632,102748,0,0,0,4960923344,100766890,90644070,0,0
